DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
1 de jan de 97;1997-01-01;11;36,841;11,326;1,7133;68,952;42,535
2 de jan de 97;1997-01-02;3;33,634;16,284;1,6083;52,48;57,02
3 de jan de 97;1997-01-03;11;35,319;17,21;1,8983;45,18;61,838
4 de jan de 97;1997-01-04;8;29,742;16,0025;1,675;117,338;78,51
5 de jan de 97;1997-01-05;11;43,343;21,3;2,012;156,02;82,008
6 de jan de 97;1997-01-06;11;43,787;26,735;2,458;126,133;135,51
7 de jan de 97;1997-01-07;8;51,858;31,955;3,228;94,912;159,426
8 de jan de 97;1997-01-08;7;53,457;29,954;3,966;67,183;182,9
9 de jan de 97;1997-01-09;9;41,771;27,486;3,7217;76,266;131,714
10 de jan de 97;1997-01-10;11;54,352;32,566;4,5267;38,628;113,142
11 de jan de 97;1997-01-11;7;33,294;21,862;3,7667;48,515;82,892
12 de jan de 97;1997-01-12;8;35,838;20,784;3,4433;61,858;76,064
13 de jan de 97;1997-01-13;6;39,794;23,302;3,9433;50,54;95,604
14 de jan de 97;1997-01-14;10;53,626;24,152;3,825;64,6;118,452
15 de jan de 97;1997-01-15;4;54,672;27,838;3,7017;107,893;155,678
16 de jan de 97;1997-01-16;10;43,894;25,394;4,0917;21,637;131,31
17 de jan de 97;1997-01-17;7;36,534;22,7;2,4117;39,886;68,772
18 de jan de 97;1997-01-18;9;39,015;19,028;1,79;92,622;77,402
19 de jan de 97;1997-01-19;10;31,412;14,42;2,0183;56,828;63,394
20 de jan de 97;1997-01-20;13;39,82;18,822;3,1567;48,303;98,624
21 de jan de 97;1997-01-21;6;43,209;15,21;3,378;43,787;129,275
22 de jan de 97;1997-01-22;11;43,247;13,0625;3,94;43,88;106,215
23 de jan de 97;1997-01-23;11;40,885;11,24;3,308;53,487;98,33
24 de jan de 97;1997-01-24;10;42,229;12,945;3,5017;32,023;94,417
25 de jan de 97;1997-01-25;7;34,797;8,0575;3,095;60,868;79,656
26 de jan de 97;1997-01-26;4;30,97;11,892;2,5386;54,074;71,8
27 de jan de 97;1997-01-27;10;42,828;17,208;3,8629;40,282;94,386
28 de jan de 97;1997-01-28;5;46,9;15,04;3,5483;45,657;85,477
29 de jan de 97;1997-01-29;8;56,243;17,3675;4,0517;47,127;92,612
30 de jan de 97;1997-01-30;7;58,775;28,402;4,14;52,384;110,463
31 de jan de 97;1997-01-31;7;40,902;19,77;2,862;45,136;100,272
1 de fev de 97;1997-02-01;8;31,632;12,595;2,55;48,225;55,557
2 de fev de 97;1997-02-02;6;28,422;6,7067;2,3075;56,623;57,865
3 de fev de 97;1997-02-03;7;42,492;15,44;2,6433;55,037;135,895
4 de fev de 97;1997-02-04;9;61,359;21,12;3,31;78,495;191,48
5 de fev de 97;1997-02-05;8;68,107;25,62;2,9533;122,403;125,24
6 de fev de 97;1997-02-06;11;73,784;26,185;3,2;121,452;120,79
7 de fev de 97;1997-02-07;12;79,42;31,57;2,7943;181,802;158,18
8 de fev de 97;1997-02-08;7;64,553;19,3075;1,9514;146,552;77,22
9 de fev de 97;1997-02-09;8;48,675;17,6925;2,0757;138,304;104,628
10 de fev de 97;1997-02-10;9;58,014;19,0675;2,5943;105,984;135,39
11 de fev de 97;1997-02-11;14;70,038;25,565;4,03;81,558;110,4
12 de fev de 97;1997-02-12;18;69,538;26,0625;2,5786;132,244;154,863
13 de fev de 97;1997-02-13;6;58,008;29,035;3,0929;77,824;147,322
14 de fev de 97;1997-02-14;9;54,687;26,9875;3,93;50,03;149,183
15 de fev de 97;1997-02-15;13;45,952;19,1325;4,22;50,958;125,59
16 de fev de 97;1997-02-16;9;30,475;13,2075;2,6829;45,555;84,27
17 de fev de 97;1997-02-17;5;39,598;20,8275;3,29;60,87;133,053
18 de fev de 97;1997-02-18;7;41,73;23,425;3,4757;34,8;103,455
19 de fev de 97;1997-02-19;7;48,33;25,8;4,1557;66,735;108,263
20 de fev de 97;1997-02-20;6;45,82;23,8275;4,05;55,552;100,14
21 de fev de 97;1997-02-21;11;44,978;19,57;3,2343;61,903;93,347
22 de fev de 97;1997-02-22;11;55,549;22,735;2,6186;92,658;104,447
23 de fev de 97;1997-02-23;11;55,658;18,9625;3,1386;147,915;148,137
24 de fev de 97;1997-02-24;8;50,612;17,5675;2,65;68,027;82,594
25 de fev de 97;1997-02-25;12;53,903;20,5525;2,85;154,487;181,972
26 de fev de 97;1997-02-26;12;58,552;25,72;2,4571;169,627;149,86
27 de fev de 97;1997-02-27;9;48,406;22,174;2,615;98,222;122,942
28 de fev de 97;1997-02-28;8;39,661;23,9475;2,46;42,168;72,154
1 de mar de 97;1997-03-01;9;36,589;20,4075;1,7571;54,292;58,236
2 de mar de 97;1997-03-02;8;37,515;12,4225;1,5471;82,98;64,45
3 de mar de 97;1997-03-03;13;49,673;22,185;3,3586;98,587;147,982
4 de mar de 97;1997-03-04;9;50,577;27,965;3,03;71,675;155,13
5 de mar de 97;1997-03-05;11;52,924;26,7925;3,3814;46,97;128,432
6 de mar de 97;1997-03-06;10;55,336;27,66;3,5267;34,597;125,73
7 de mar de 97;1997-03-07;13;61,199;48,925;3,9233;51,682;150,69
8 de mar de 97;1997-03-08;7;55,063;34,62;2,79;127,153;145,354
9 de mar de 97;1997-03-09;8;51,705;29,66;2,0717;103,658;83,278
10 de mar de 97;1997-03-10;10;49,882;27,0633;2,8267;108,845;120,46
11 de mar de 97;1997-03-11;8;68,641;40,7167;2,8643;138,324;146,688
12 de mar de 97;1997-03-12;10;78,967;48,25;4,2757;96,198;160,618
13 de mar de 97;1997-03-13;8;84,008;40,6975;3,8586;97,264;186,34
14 de mar de 97;1997-03-14;9;67,739;29,316;2,9729;136,61;146,88
15 de mar de 97;1997-03-15;9;48,783;17,426;2,7171;53,127;102,892
16 de mar de 97;1997-03-16;11;37,093;12,998;2,3;69,738;66,512
17 de mar de 97;1997-03-17;13;35,88;16,478;1,9714;47,025;75,402
18 de mar de 97;1997-03-18;8;40,9;22,198;2,1371;44,165;82,072
19 de mar de 97;1997-03-19;11;49,06;23,518;2,3871;76,752;109,056
20 de mar de 97;1997-03-20;8;59,907;27,276;2,6443;90,303;124,6
21 de mar de 97;1997-03-21;8;57,016;27,764;2,5114;106,917;139,396
22 de mar de 97;1997-03-22;9;48,166;24,232;2,1129;76,265;81,494
23 de mar de 97;1997-03-23;8;56,917;19,516;2,1543;142,313;96,248
24 de mar de 97;1997-03-24;9;77,742;30,918;3,6543;152,877;197,16
25 de mar de 97;1997-03-25;6;51,94;23,89;2,1371;68,632;81,957
26 de mar de 97;1997-03-26;5;45,997;20,8175;2,2683;54,645;78,788
27 de mar de 97;1997-03-27;11;48,741;20,708;1,9171;71;82,485
28 de mar de 97;1997-03-28;7;39,83;12,3217;1,6057;64,71;46,018
29 de mar de 97;1997-03-29;4;39,619;12,5633;1,1414;59,508;54,98
30 de mar de 97;1997-03-30;8;48,09;17,6483;1,7071;56,723;70,512
31 de mar de 97;1997-03-31;8;52,972;24,9483;3,115;39,005;115,22
1 de abr de 97;1997-04-01;12;54,86;31,106;4,3243;26,508;90,482
2 de abr de 97;1997-04-02;7;52,235;29,696;4,48;41,483;97,822
3 de abr de 97;1997-04-03;5;46,97;31,378;4,3686;40,287;97,337
4 de abr de 97;1997-04-04;8;53,791;32,3083;4,5029;41,7;99,312
5 de abr de 97;1997-04-05;10;48,84;18,4983;2,91;53,627;74,557
6 de abr de 97;1997-04-06;8;45,581;15,545;1,6986;46,698;57,778
7 de abr de 97;1997-04-07;6;44,422;19,4317;2,2283;50,697;94,262
8 de abr de 97;1997-04-08;9;38,735;17,785;2,2871;34,88;79,665
9 de abr de 97;1997-04-09;7;38,478;16,702;2,1829;49,038;82,16
10 de abr de 97;1997-04-10;9;52,687;26,62;2,4857;78,542;111,645
11 de abr de 97;1997-04-11;9;81,087;35,95;4,0671;84,265;179,79
12 de abr de 97;1997-04-12;15;83,678;32,1517;5,1757;68,23;117,707
13 de abr de 97;1997-04-13;6;65,324;22,2217;2,5729;115,642;108,835
14 de abr de 97;1997-04-14;5;87,096;39,69;4,0186;123,844;223,333
15 de abr de 97;1997-04-15;12;83,186;47,1;3,2657;118,094;150,702
16 de abr de 97;1997-04-16;10;92,515;39,8967;3,4371;105,816;167,842
17 de abr de 97;1997-04-17;12;64,572;30,915;4,9329;37,68;109,698
18 de abr de 97;1997-04-18;10;55,98;35,3817;4,6571;34,137;108,538
19 de abr de 97;1997-04-19;12;50,361;30,7333;4,0743;47,117;104,892
20 de abr de 97;1997-04-20;13;34,508;16,0083;4,0457;29,482;55,325
21 de abr de 97;1997-04-21;15;25,518;8,3783;2,4914;56,648;57,47
22 de abr de 97;1997-04-22;13;43,587;23,47;2,5914;67,25;111,522
23 de abr de 97;1997-04-23;8;43,611;23,2567;2,7029;51,313;96,774
24 de abr de 97;1997-04-24;11;66,258;35,31;3,3229;63,518;164,328
25 de abr de 97;1997-04-25;13;86,661;56,9375;5,424;57,148;127,406
26 de abr de 97;1997-04-26;5;54,765;19,21;3,5767;99,184;98,228
27 de abr de 97;1997-04-27;11;56,449;21,482;1,76;101,398;88,054
28 de abr de 97;1997-04-28;11;59,217;38,272;4,3857;56,352;112,895
29 de abr de 97;1997-04-29;15;80,285;31,99;4,3286;47,723;137,22
30 de abr de 97;1997-04-30;11;94,72;38,894;4,4614;60,547;192,033
1 de mai de 97;1997-05-01;7;77,622;35,068;4,0286;93,168;123,455
2 de mai de 97;1997-05-02;10;99,1;37,952;4,3114;75,078;171,57
3 de mai de 97;1997-05-03;10;94,352;34,48;3,92;187,628;207,488
4 de mai de 97;1997-05-04;11;47,819;13,238;1,7433;46,495;57,428
5 de mai de 97;1997-05-05;16;49,204;18,076;2,7117;69,562;105,893
6 de mai de 97;1997-05-06;10;67,932;26,076;2,8067;100,464;125,838
7 de mai de 97;1997-05-07;8;75,645;29,384;2,9;79,682;123,89
8 de mai de 97;1997-05-08;6;82,638;29,54;3,0843;115,254;141,288
9 de mai de 97;1997-05-09;12;86,515;32,762;3,4214;143,126;184,342
10 de mai de 97;1997-05-10;14;66,237;20,39;2,2686;117,814;103,685
11 de mai de 97;1997-05-11;16;61,252;16,794;1,9386;98,692;80,573
12 de mai de 97;1997-05-12;9;83,833;32,278;4,3729;56,65;169,797
13 de mai de 97;1997-05-13;15;86,794;29,894;4,5257;51,258;95,358
14 de mai de 97;1997-05-14;11;52,832;18,066;2,1371;39,277;79,578
15 de mai de 97;1997-05-15;7;58,889;24,29;2,56;35,518;91,068
16 de mai de 97;1997-05-16;13;75,808;34,626;3,14;56,316;120,59
17 de mai de 97;1997-05-17;4;72,283;25,942;2,82;70,85;100,143
18 de mai de 97;1997-05-18;8;68,508;21,968;2,555;68,845;86,822
19 de mai de 97;1997-05-19;11;89,022;36,338;5,625;65,973;142,265
20 de mai de 97;1997-05-20;11;97,534;41,868;5,6671;49,898;173,61
21 de mai de 97;1997-05-21;11;83,655;35,846;4,99;54,722;128,422
22 de mai de 97;1997-05-22;10;57,398;20,518;4,7571;28,04;85,513
23 de mai de 97;1997-05-23;16;46,015;21,068;3,0914;36,57;75,623
24 de mai de 97;1997-05-24;11;40,832;12,632;2,5657;23,015;69,65
25 de mai de 97;1997-05-25;12;27,584;9,768;2,1643;28,878;63,648
26 de mai de 97;1997-05-26;9;57,061;30,838;3,1643;41,977;126,513
27 de mai de 97;1997-05-27;14;62,071;28,804;4,08;56,162;123,163
28 de mai de 97;1997-05-28;15;56,925;27,908;4,63;17,455;93,358
29 de mai de 97;1997-05-29;12;26,068;13,36;3,5357;34,382;50,398
30 de mai de 97;1997-05-30;10;30,139;14,378;2,2417;32,763;76,015
31 de mai de 97;1997-05-31;20;40,348;15,904;1,7414;35,615;65,315
1 de jun de 97;1997-06-01;10;36,697;19,052;1,8214;39,738;63,245
2 de jun de 97;1997-06-02;15;55,647;28,82;2,9333;54,013;108,94
3 de jun de 97;1997-06-03;21;94,481;43,675;4,7367;32,715;263,738
4 de jun de 97;1997-06-04;14;76,791;38,135;4,5633;29,5;99,026
5 de jun de 97;1997-06-05;17;50,119;29,66;5,3017;11,672;116,136
6 de jun de 97;1997-06-06;14;49,438;28,8075;3,8733;19,89;83,924
7 de jun de 97;1997-06-07;23;40,001;19,4825;3,4433;35,962;73,198
8 de jun de 97;1997-06-08;21;39,089;12,85;2,6183;40,483;65,806
9 de jun de 97;1997-06-09;20;70,492;37,4125;3,2767;103,912;165,1
10 de jun de 97;1997-06-10;20;93,601;43,7375;5,0533;79,698;197,754
11 de jun de 97;1997-06-11;24;100,32;51,71;5,9029;42,73;198,013
12 de jun de 97;1997-06-12;25;62,301;33,6725;5,9;30,14;98,64
13 de jun de 97;1997-06-13;27;98,207;40,542;6,9129;44,012;233,888
14 de jun de 97;1997-06-14;19;51,818;19,676;5,5929;11,765;70,735
15 de jun de 97;1997-06-15;21;26,649;10,124;2,7971;20,408;50,135
16 de jun de 97;1997-06-16;19;39,219;21,742;3,4129;27,487;84,95
17 de jun de 97;1997-06-17;15;66,67;39,194;5,2214;17,257;95,665
18 de jun de 97;1997-06-18;24;78,975;34,892;4,6557;58,703;122,525
19 de jun de 97;1997-06-19;26;73,343;34,072;4,4943;37,255;159,142
20 de jun de 97;1997-06-20;15;61,89;29,61;6,6883;16,25;105,24
21 de jun de 97;1997-06-21;18;61,948;30,162;5,8957;28,343;82,792
22 de jun de 97;1997-06-22;23;52,478;25,422;4,9257;33,602;73,21
23 de jun de 97;1997-06-23;21;66,561;31,17;4,42;41,345;140,36
24 de jun de 97;1997-06-24;26;68,869;33,78;5,4386;41,792;109,957
25 de jun de 97;1997-06-25;24;104,533;45,906;6,3129;51,093;165,477
26 de jun de 97;1997-06-26;20;84,055;35,272;5,8886;52,035;129,22
27 de jun de 97;1997-06-27;17;68,881;35,0775;4,4086;30,202;117,908
28 de jun de 97;1997-06-28;12;48,419;16,012;3,4443;18,512;103,207
29 de jun de 97;1997-06-29;23;37,816;10,946;3,4729;24,912;91,468
30 de jun de 97;1997-06-30;21;36,307;16,766;2,5657;26,217;97,215
1 de jul de 97;1997-07-01;12;48,633;14,24;2,9986;22,218;80,288
